,text,labels
787,Humid and partly cloudy throughout the day.,2
799,Humid and partly cloudy throughout the day.,2
801,Humid and partly cloudy throughout the day.,2
802,Windy in the afternoon and evening.,2
803,Windy in the evening.,2
804,Humid and partly cloudy throughout the day.,2
806,Humid and mostly cloudy throughout the day.,2
817,Humid and partly cloudy throughout the day.,2
818,Humid and mostly cloudy throughout the day.,2
819,Humid and partly cloudy throughout the day.,2
820,Humid and partly cloudy throughout the day.,2
821,Humid and partly cloudy throughout the day.,2
832,Humid throughout the day.,2
838,Humid and partly cloudy throughout the day.,2
843,Humid and partly cloudy throughout the day.,2
844,Humid and partly cloudy throughout the day.,2
847,Humid and partly cloudy throughout the day.,2
851,Humid and partly cloudy throughout the day.,2
852,Humid and partly cloudy throughout the day.,2
854,Humid and mostly cloudy throughout the day.,2
855,Humid and partly cloudy throughout the day.,2
856,Humid throughout the day.,2
864,Humid and partly cloudy throughout the day.,2
868,Humid and partly cloudy throughout the day.,2
869,Humid throughout the day.,2
874,Humid and partly cloudy throughout the day.,2
876,Humid and partly cloudy throughout the day.,2
877,Humid and partly cloudy throughout the day.,2
878,Humid and partly cloudy throughout the day.,2
880,Humid and partly cloudy throughout the day.,2
881,Humid and mostly cloudy throughout the day.,2
882,Humid and partly cloudy throughout the day.,2
883,Humid and mostly cloudy throughout the day.,2
884,Humid and partly cloudy throughout the day.,2
885,Humid and mostly cloudy throughout the day.,2
886,Humid and partly cloudy throughout the day.,2
888,Humid and partly cloudy throughout the day.,2
891,Humid throughout the day.,2
894,Humid throughout the day.,2
900,Mostly cloudy throughout the day.,2
902,Partly cloudy throughout the day.,2
903,Mostly cloudy throughout the day.,2
904,Clear throughout the day.,2
905,Mostly cloudy throughout the day.,2
907,Mostly cloudy throughout the day.,2
909,Partly cloudy throughout the day.,2
913,Mostly cloudy throughout the day.,2
916,Partly cloudy throughout the day.,2
923,Overcast throughout the day.,2
924,Clear throughout the day.,2
931,Clear throughout the day.,2
945,Partly cloudy throughout the day.,2
948,Mostly cloudy throughout the day.,2
949,Overcast throughout the day.,2
950,Clear throughout the day.,2
951,Partly cloudy throughout the day.,2
953,Partly cloudy throughout the day.,2
954,Mostly cloudy throughout the day.,2
955,Mostly cloudy throughout the day.,2
956,Partly cloudy throughout the day.,2
957,Overcast throughout the day.,2
958,Overcast throughout the day.,2
971,Partly cloudy throughout the day.,2
974,Mostly cloudy throughout the day.,2
977,Clear throughout the day.,2
978,Partly cloudy throughout the day.,2
979,Overcast throughout the day.,2
983,Overcast throughout the day.,2
987,Partly cloudy throughout the day.,2
991,Partly cloudy throughout the day.,2
992,Partly cloudy throughout the day.,2
993,Overcast throughout the day.,2
999,Mostly cloudy throughout the day.,2
1001,Partly cloudy throughout the day.,2
1005,Partly cloudy throughout the day.,2
1006,Overcast throughout the day.,2
1008,Partly cloudy throughout the day.,2
1009,Partly cloudy throughout the day.,2
1016,Partly cloudy throughout the day.,2
1018,Mostly cloudy throughout the day.,2
1019,Mostly cloudy throughout the day.,2
1021,Rain overnight.,2
1023,Mostly cloudy throughout the day.,2
1026,Clear throughout the day.,2
1029,Overcast throughout the day.,2
1031,Overcast throughout the day.,2
1032,Possible light rain overnight.,2
1038,Overcast throughout the day.,2
1040,Clear throughout the day.,2
1041,Clear throughout the day.,2
1042,Partly cloudy throughout the day.,2
1044,Mostly cloudy throughout the day.,2
1045,Mostly cloudy throughout the day.,2
1046,Partly cloudy throughout the day.,2
1048,Mostly cloudy throughout the day.,2
1050,Mostly cloudy throughout the day.,2
1053,Mostly cloudy throughout the day.,2
1057,Partly cloudy throughout the day.,2
1058,Overcast throughout the day.,2
1066,Partly cloudy throughout the day.,2
1070,Partly cloudy throughout the day.,2
1074,Overcast throughout the day.,2
1076,Partly cloudy throughout the day.,2
1080,Overcast throughout the day.,2
1089,Mostly cloudy throughout the day.,2
1093,Partly cloudy throughout the day.,2
1097,Overcast throughout the day.,2
1101,Clear throughout the day.,2
1105,Mostly cloudy throughout the day.,2
1108,Mostly cloudy throughout the day.,2
1113,Partly cloudy throughout the day.,2
1117,Clear throughout the day.,2
1119,Mostly cloudy throughout the day.,2
1120,Clear throughout the day.,2
1121,Mostly cloudy throughout the day.,2
1122,Partly cloudy throughout the day.,2
1129,Dangerously windy overnight.,2
1134,Humid and overcast throughout the day.,2
1142,Partly cloudy throughout the day.,2
1154,Mostly cloudy throughout the day.,2
1155,Mostly cloudy throughout the day.,2
1173,Overcast throughout the day.,2
1174,Partly cloudy throughout the day.,2
1175,Partly cloudy throughout the day.,2
1177,Mostly cloudy throughout the day.,2
1179,Mostly cloudy throughout the day.,2
1180,Clear throughout the day.,2
1181,Overcast throughout the day.,2
1191,Mostly cloudy throughout the day.,2
1200,Partly cloudy throughout the day.,2
1201,Clear throughout the day.,2
1216,Partly cloudy throughout the day.,2
1223,Mostly cloudy throughout the day.,2
1226,Overcast throughout the day.,2
1230,Overcast throughout the day.,2
1231,Partly cloudy throughout the day.,2
1234,Humid and overcast throughout the day.,2
1249,Humid and mostly cloudy throughout the day.,2
1258,Humid and overcast throughout the day.,2
1259,Humid and mostly cloudy throughout the day.,2
1260,Humid and mostly cloudy throughout the day.,2
1262,Humid and mostly cloudy throughout the day.,2
1263,Humid and mostly cloudy throughout the day.,2
1285,Humid and overcast throughout the day.,2
1286,Humid and mostly cloudy throughout the day.,2
1287,Possible light rain overnight.,2
1296,Humid and mostly cloudy throughout the day.,2
1301,Humid and mostly cloudy throughout the day.,2
1302,Humid and partly cloudy throughout the day.,2
1303,Humid and mostly cloudy throughout the day.,2
1336,Humid and mostly cloudy throughout the day.,2
1341,Humid and partly cloudy throughout the day.,2
1349,Clear throughout the day.,2
1352,Partly cloudy throughout the day.,2
1353,Humid and partly cloudy throughout the day.,2
1365,Humid and mostly cloudy throughout the day.,2
1373,Humid and partly cloudy throughout the day.,2
1374,Humid and partly cloudy throughout the day.,2
1392,Humid and partly cloudy throughout the day.,2
1406,Humid and overcast throughout the day.,2
1419,Partly cloudy throughout the day.,2
1433,Partly cloudy throughout the day.,2
1434,Mostly cloudy throughout the day.,2
1436,Clear throughout the day.,2
1451,Partly cloudy throughout the day.,2
1452,Overcast throughout the day.,2
1455,Overcast throughout the day.,2
1459,Possible light rain overnight.,2
1464,Partly cloudy throughout the day.,2
1471,Partly cloudy throughout the day.,2
1473,Partly cloudy throughout the day.,2
1477,Possible light rain overnight.,2
1479,Partly cloudy throughout the day.,2
1480,Partly cloudy throughout the day.,2
1483,Partly cloudy throughout the day.,2
1488,Partly cloudy throughout the day.,2
1489,Mostly cloudy throughout the day.,2
1498,Mostly cloudy throughout the day.,2
1500,Partly cloudy throughout the day.,2
1501,Mostly cloudy throughout the day.,2
1504,Mostly cloudy throughout the day.,2
1505,Mostly cloudy throughout the day.,2
1506,Mostly cloudy throughout the day.,2
1510,Clear throughout the day.,2
1512,Mostly cloudy throughout the day.,2
1514,Mostly cloudy throughout the day.,2
1515,Mostly cloudy throughout the day.,2
1517,Partly cloudy throughout the day.,2
1518,Overcast throughout the day.,2
1519,Partly cloudy throughout the day.,2
1520,Mostly cloudy throughout the day.,2
1521,Mostly cloudy throughout the day.,2
1522,Overcast throughout the day.,2
1524,Mostly cloudy throughout the day.,2
1525,Clear throughout the day.,2
1526,Partly cloudy throughout the day.,2
1527,Mostly cloudy throughout the day.,2
1528,Overcast throughout the day.,2
1531,Partly cloudy throughout the day.,2
1532,Mostly cloudy throughout the day.,2
1533,Mostly cloudy throughout the day.,2
1534,Partly cloudy throughout the day.,2
1535,Partly cloudy throughout the day.,2
1536,Overcast throughout the day.,2
1537,Partly cloudy throughout the day.,2
1538,Mostly cloudy throughout the day.,2
1539,Overcast throughout the day.,2
1541,Mostly cloudy throughout the day.,2
1542,Mostly cloudy throughout the day.,2
1543,Mostly cloudy throughout the day.,2
1544,Mostly cloudy throughout the day.,2
1545,Partly cloudy throughout the day.,2
1547,Overcast throughout the day.,2
1552,Mostly cloudy throughout the day.,2
1553,Mostly cloudy throughout the day.,2
1556,Mostly cloudy throughout the day.,2
1557,Partly cloudy throughout the day.,2
1558,Partly cloudy throughout the day.,2
1560,Partly cloudy throughout the day.,2
1561,Overcast throughout the day.,2
1562,Partly cloudy throughout the day.,2
1563,Mostly cloudy throughout the day.,2
1568,Mostly cloudy throughout the day.,2
1569,Mostly cloudy throughout the day.,2
1570,Partly cloudy throughout the day.,2
1571,Overcast throughout the day.,2
1572,Partly cloudy throughout the day.,2
1574,Overcast throughout the day.,2
1575,Foggy overnight.,2
1576,Mostly cloudy throughout the day.,2
1579,Partly cloudy throughout the day.,2
1581,Clear throughout the day.,2
1584,Partly cloudy throughout the day.,2
1585,Partly cloudy throughout the day.,2
1586,Mostly cloudy throughout the day.,2
1594,Mostly cloudy throughout the day.,2
1596,Mostly cloudy throughout the day.,2
1602,Partly cloudy throughout the day.,2
1603,Partly cloudy throughout the day.,2
1604,Clear throughout the day.,2
1606,Clear throughout the day.,2
1607,Partly cloudy throughout the day.,2
1619,Mostly cloudy throughout the day.,2
1620,Partly cloudy throughout the day.,2
1622,Overcast throughout the day.,2
1623,Partly cloudy throughout the day.,2
1627,Mostly cloudy throughout the day.,2
1633,Mostly cloudy throughout the day.,2
1634,Partly cloudy throughout the day.,2
1635,Overcast throughout the day.,2
1636,Mostly cloudy throughout the day.,2
1637,Partly cloudy throughout the day.,2
1639,Mostly cloudy throughout the day.,2
1641,Mostly cloudy throughout the day.,2
1642,Mostly cloudy throughout the day.,2
1644,Mostly cloudy throughout the day.,2
1648,Mostly cloudy throughout the day.,2
1652,Mostly cloudy throughout the day.,2
1653,Partly cloudy throughout the day.,2
1654,Overcast throughout the day.,2
1655,Mostly cloudy throughout the day.,2
1658,Mostly cloudy throughout the day.,2
1659,Clear throughout the day.,2
1664,Partly cloudy throughout the day.,2
1665,Partly cloudy throughout the day.,2
1670,Overcast throughout the day.,2
1671,Overcast throughout the day.,2
1677,Light rain overnight.,2
1686,Mostly cloudy throughout the day.,2
1687,Mostly cloudy throughout the day.,2
1688,Partly cloudy throughout the day.,2
1690,Mostly cloudy throughout the day.,2
1691,Mostly cloudy throughout the day.,2
1696,Partly cloudy throughout the day.,2
1697,Mostly cloudy throughout the day.,2
1703,Partly cloudy throughout the day.,2
1704,Partly cloudy throughout the day.,2
1705,Partly cloudy throughout the day.,2
1706,Mostly cloudy throughout the day.,2
1707,Overcast throughout the day.,2
1713,Mostly cloudy throughout the day.,2
1719,Overcast throughout the day.,2
1721,Partly cloudy throughout the day.,2
1722,Mostly cloudy throughout the day.,2
1726,Partly cloudy throughout the day.,2
1730,Overcast throughout the day.,2
1738,Mostly cloudy throughout the day.,2
1739,Partly cloudy throughout the day.,2
1740,Possible light rain overnight.,2
1742,Overcast throughout the day.,2
1746,Mostly cloudy throughout the day.,2
1748,Partly cloudy throughout the day.,2
1751,Partly cloudy throughout the day.,2
1753,Mostly cloudy throughout the day.,2
1754,Clear throughout the day.,2
1757,Overcast throughout the day.,2
1758,Overcast throughout the day.,2
1759,Partly cloudy throughout the day.,2
1760,Overcast throughout the day.,2
1761,Mostly cloudy throughout the day.,2
1762,Mostly cloudy throughout the day.,2
1763,Overcast throughout the day.,2
1764,Overcast throughout the day.,2
1765,Partly cloudy throughout the day.,2
1766,Mostly cloudy throughout the day.,2
1767,Clear throughout the day.,2
1769,Mostly cloudy throughout the day.,2
1771,Light rain overnight.,2
1776,Partly cloudy throughout the day.,2
1777,Overcast throughout the day.,2
1778,Partly cloudy throughout the day.,2
1780,Possible light rain overnight.,2
1782,Mostly cloudy throughout the day.,2
1783,Mostly cloudy throughout the day.,2
1784,Mostly cloudy throughout the day.,2
1785,Mostly cloudy throughout the day.,2
1786,Partly cloudy throughout the day.,2
1787,Mostly cloudy throughout the day.,2
1788,Overcast throughout the day.,2
1789,Possible light rain overnight.,2
1791,Partly cloudy throughout the day.,2
1792,Partly cloudy throughout the day.,2
1808,Mostly cloudy throughout the day.,2
1812,Mostly cloudy throughout the day.,2
1813,Partly cloudy throughout the day.,2
1817,Clear throughout the day.,2
1829,Partly cloudy throughout the day.,2
1834,Mostly cloudy throughout the day.,2
1837,Mostly cloudy throughout the day.,2
1838,Clear throughout the day.,2
1840,Overcast throughout the day.,2
1842,Mostly cloudy throughout the day.,2
1843,Overcast throughout the day.,2
1851,Mostly cloudy throughout the day.,2
1853,Mostly cloudy throughout the day.,2
1855,Mostly cloudy throughout the day.,2
1856,Overcast throughout the day.,2
1857,Mostly cloudy throughout the day.,2
1858,Overcast throughout the day.,2
1860,Partly cloudy throughout the day.,2
1863,Mostly cloudy throughout the day.,2
1864,Partly cloudy throughout the day.,2
1867,Mostly cloudy throughout the day.,2
1870,Mostly cloudy throughout the day.,2
1871,Mostly cloudy throughout the day.,2
1872,Partly cloudy throughout the day.,2
1876,Mostly cloudy throughout the day.,2
1878,Mostly cloudy throughout the day.,2
1880,Mostly cloudy throughout the day.,2
1882,Partly cloudy throughout the day.,2
1883,Overcast throughout the day.,2
1884,Partly cloudy throughout the day.,2
1886,Partly cloudy throughout the day.,2
1887,Overcast throughout the day.,2
1888,Partly cloudy throughout the day.,2
1892,Mostly cloudy throughout the day.,2
1893,Clear throughout the day.,2
1894,Humid and overcast throughout the day.,2
1895,Mostly cloudy throughout the day.,2
1896,Partly cloudy throughout the day.,2
1897,Mostly cloudy throughout the day.,2
1898,Clear throughout the day.,2
1899,Overcast throughout the day.,2
1902,Mostly cloudy throughout the day.,2
1903,Partly cloudy throughout the day.,2
1906,Foggy overnight.,2
1910,Foggy in the evening and overnight.,2
1911,Partly cloudy throughout the day.,2
1912,Foggy in the afternoon.,2
1913,Foggy in the evening and overnight.,2
1916,Mostly cloudy throughout the day.,2
1918,Partly cloudy throughout the day.,2
1919,Mostly cloudy throughout the day.,2
1920,Mostly cloudy throughout the day.,2
1928,Overcast throughout the day.,2
1929,Foggy starting in the afternoon.,2
1935,Possible light rain overnight.,2
1940,Foggy in the morning.,2
1943,Foggy in the afternoon.,2
1947,Partly cloudy throughout the day.,2
1949,Foggy in the morning and afternoon.,2
1950,Overcast throughout the day.,2
1951,Possible light rain overnight.,2
1954,Partly cloudy throughout the day.,2
1956,Partly cloudy throughout the day.,2
1961,Windy overnight.,2
1963,Overcast throughout the day.,2
1968,Foggy overnight.,2
1975,Foggy overnight.,2
1977,Foggy in the morning.,2
1986,Partly cloudy throughout the day.,2
1987,Mostly cloudy throughout the day.,2
1988,Mostly cloudy throughout the day.,2
1989,Mostly cloudy throughout the day.,2
1990,Mostly cloudy throughout the day.,2
1994,Foggy overnight.,2
1998,Foggy in the morning.,2
2005,Mostly cloudy throughout the day.,2
2006,Partly cloudy throughout the day.,2
2010,Partly cloudy throughout the day.,2
2011,Partly cloudy throughout the day.,2
2015,Partly cloudy throughout the day.,2
2020,Partly cloudy throughout the day.,2
2023,Mostly cloudy throughout the day.,2
2025,Clear throughout the day.,2
2026,Partly cloudy throughout the day.,2
2027,Mostly cloudy throughout the day.,2
2033,Partly cloudy throughout the day.,2
2036,Partly cloudy throughout the day.,2
2039,Overcast throughout the day.,2
2043,Mostly cloudy throughout the day.,2
2044,Partly cloudy throughout the day.,2
2046,Mostly cloudy throughout the day.,2
2051,Partly cloudy throughout the day.,2
2056,Overcast throughout the day.,2
2057,Mostly cloudy throughout the day.,2
2059,Mostly cloudy throughout the day.,2
2060,Mostly cloudy throughout the day.,2
2061,Mostly cloudy throughout the day.,2
2062,Mostly cloudy throughout the day.,2
2065,Partly cloudy throughout the day.,2
2066,Overcast throughout the day.,2
2068,Overcast throughout the day.,2
2069,Clear throughout the day.,2
2072,Clear throughout the day.,2
2074,Overcast throughout the day.,2
2075,Mostly cloudy throughout the day.,2
2076,Light rain overnight.,2
2078,Clear throughout the day.,2
2081,Partly cloudy throughout the day.,2
2082,Overcast throughout the day.,2
2086,Mostly cloudy throughout the day.,2
2088,Overcast throughout the day.,2
2089,Overcast throughout the day.,2
2095,Overcast throughout the day.,2
2100,Overcast throughout the day.,2
2101,Clear throughout the day.,2
2103,Partly cloudy throughout the day.,2
2104,Mostly cloudy throughout the day.,2
2105,Clear throughout the day.,2
2106,Overcast throughout the day.,2
2109,Partly cloudy throughout the day.,2
2111,Clear throughout the day.,2
2116,Mostly cloudy throughout the day.,2
2117,Overcast throughout the day.,2
2122,Partly cloudy throughout the day.,2
2123,Partly cloudy throughout the day.,2
2125,Mostly cloudy throughout the day.,2
2126,Clear throughout the day.,2
2127,Mostly cloudy throughout the day.,2
2128,Partly cloudy throughout the day.,2
2129,Overcast throughout the day.,2
2145,Partly cloudy throughout the day.,2
2146,Partly cloudy throughout the day.,2
2149,Partly cloudy throughout the day.,2
2156,Mostly cloudy throughout the day.,2
2159,Partly cloudy throughout the day.,2
2160,Clear throughout the day.,2
2167,Overcast throughout the day.,2
2168,Clear throughout the day.,2
2175,Overcast throughout the day.,2
2176,Overcast throughout the day.,2
2177,Clear throughout the day.,2
2178,Overcast throughout the day.,2
2181,Partly cloudy throughout the day.,2
2182,Overcast throughout the day.,2
2184,Partly cloudy throughout the day.,2
2199,Clear throughout the day.,2
2200,Partly cloudy throughout the day.,2
2202,Mostly cloudy throughout the day.,2
2207,Partly cloudy throughout the day.,2
2212,Partly cloudy throughout the day.,2
2213,Mostly cloudy throughout the day.,2
2221,Mostly cloudy throughout the day.,2
2224,Mostly cloudy throughout the day.,2
2225,Mostly cloudy throughout the day.,2
2227,Partly cloudy throughout the day.,2
2228,Overcast throughout the day.,2
2229,Overcast throughout the day.,2
2230,Mostly cloudy throughout the day.,2
2236,Mostly cloudy throughout the day.,2
2238,Overcast throughout the day.,2
2240,Partly cloudy throughout the day.,2
2241,Mostly cloudy throughout the day.,2
2247,Partly cloudy throughout the day.,2
2259,Partly cloudy throughout the day.,2
2260,Partly cloudy throughout the day.,2
2262,Mostly cloudy throughout the day.,2
2263,Partly cloudy throughout the day.,2
2275,Clear throughout the day.,2
2276,Partly cloudy throughout the day.,2
2277,Clear throughout the day.,2
2278,Partly cloudy throughout the day.,2
2279,Partly cloudy throughout the day.,2
2290,Mostly cloudy throughout the day.,2
2291,Partly cloudy throughout the day.,2
2292,Partly cloudy throughout the day.,2
2294,Partly cloudy throughout the day.,2
2313,Partly cloudy throughout the day.,2
2314,Mostly cloudy throughout the day.,2
2315,Partly cloudy throughout the day.,2
2319,Overcast throughout the day.,2
2320,Mostly cloudy throughout the day.,2
2335,Humid and partly cloudy throughout the day.,2
2338,Humid and partly cloudy throughout the day.,2
2354,Partly cloudy throughout the day.,2
2371,Partly cloudy throughout the day.,2
2377,Mostly cloudy throughout the day.,2
2378,Mostly cloudy throughout the day.,2
2379,Mostly cloudy throughout the day.,2
2385,Mostly cloudy throughout the day.,2
2386,Mostly cloudy throughout the day.,2
2387,Mostly cloudy throughout the day.,2
2397,Overcast throughout the day.,2
2398,Overcast throughout the day.,2
2399,Mostly cloudy throughout the day.,2
2407,Partly cloudy throughout the day.,2
2411,Partly cloudy throughout the day.,2
2412,Overcast throughout the day.,2
2413,Partly cloudy throughout the day.,2
2421,Mostly cloudy throughout the day.,2
2425,Mostly cloudy throughout the day.,2
2428,Partly cloudy throughout the day.,2
2429,Mostly cloudy throughout the day.,2
2430,Partly cloudy throughout the day.,2
2435,Partly cloudy throughout the day.,2
2436,Partly cloudy throughout the day.,2
2438,Clear throughout the day.,2
2442,Mostly cloudy throughout the day.,2
2443,Partly cloudy throughout the day.,2
2444,Mostly cloudy throughout the day.,2
2445,Mostly cloudy throughout the day.,2
2446,Humid and mostly cloudy throughout the day.,2
2447,Humid and mostly cloudy throughout the day.,2
2448,Mostly cloudy throughout the day.,2
2449,Partly cloudy throughout the day.,2
2450,Mostly cloudy throughout the day.,2
2451,Mostly cloudy throughout the day.,2
2452,Mostly cloudy throughout the day.,2
2453,Mostly cloudy throughout the day.,2
2454,Mostly cloudy throughout the day.,2
2455,Mostly cloudy throughout the day.,2
2456,Clear throughout the day.,2
2458,Mostly cloudy throughout the day.,2
2460,Mostly cloudy throughout the day.,2
2469,Foggy overnight.,2
2470,Foggy in the morning and afternoon.,2
2475,Overcast throughout the day.,2
2478,Overcast throughout the day.,2
2479,Overcast throughout the day.,2
2481,Overcast throughout the day.,2
2482,Mostly cloudy throughout the day.,2
2483,Mostly cloudy throughout the day.,2
2484,Overcast throughout the day.,2
2487,Possible drizzle overnight.,2
2489,Overcast throughout the day.,2
2503,Windy overnight.,2
2509,Clear throughout the day.,2
2513,Partly cloudy throughout the day.,2
2515,Clear throughout the day.,2
2522,Partly cloudy throughout the day.,2
2529,Mostly cloudy throughout the day.,2
2539,Foggy overnight.,2
2541,Partly cloudy throughout the day.,2
2542,Overcast throughout the day.,2
2543,Partly cloudy throughout the day.,2
2550,Mostly cloudy throughout the day.,2
2551,Overcast throughout the day.,2
2552,Mostly cloudy throughout the day.,2
2553,Foggy in the morning.,2
2554,Partly cloudy throughout the day.,2
2555,Overcast throughout the day.,2
2556,Overcast throughout the day.,2
2557,Mostly cloudy throughout the day.,2
